transaction_date,Post Date,description,Category,Type,amount,Memo,type,category,subcategory
03/06/2025,03/07/2025,PRODUCE JUNCTION BROOMALL,Groceries,Sale,-32.75,,debit,Food,Groceries
03/05/2025,03/06/2025,LOWES #03169*,Home,Sale,-15.88,,debit,House,Miscellaneous
03/06/2025,03/06/2025,PAYPAL *EBAY US,Shopping,Return,132.38,,credit,Family,Shopping
03/04/2025,03/05/2025,PHSC BILLING OFFICE,Health & Wellness,Sale,-121.44,,debit,Family,Medical
03/04/2025,03/05/2025,PAYPAL *EBAY US,Shopping,Sale,-132.38,,debit,Family,Shopping
03/04/2025,03/05/2025,PAYPAL *EBAY US,Shopping,Sale,-33.87,,debit,Family,Shopping
03/04/2025,03/05/2025,AMAZON MKTPL*1K3HY0T83,Shopping,Sale,-37.09,,debit,Family,Shopping
03/03/2025,03/04/2025,AMAZON MKTPL*8Q55K68J3,Shopping,Sale,-63.53,,debit,Family,Shopping
03/02/2025,03/04/2025,DELAWARE HBCS,Health & Wellness,Sale,-100.0,,debit,Family,Medical
03/02/2025,03/04/2025,PA DRIVER &amp; VEHICLE SERV,Bills & Utilities,Sale,-100.0,,debit,House,Utilities
03/02/2025,03/03/2025,Amazon web services,Personal,Sale,-4.52,,debit,Family,Shopping
03/01/2025,03/02/2025,NETFLIX.COM,Bills & Utilities,Sale,-19.07,,debit,Family,Subscription
02/28/2025,03/02/2025,PRODUCE JUNCTION BROOMALL,Groceries,Sale,-28.0,,debit,Food,Groceries
02/28/2025,03/02/2025,AMERICAN HEART ASSOC,Gifts & Donations,Sale,-52.6,,debit,Family,Miscellaneous
02/27/2025,02/28/2025,GREATER PHILADELPHIA YMCA,Personal,Sale,-103.0,,debit,Family,Subscription
02/27/2025,02/28/2025,BRUNO'S SINCLAIR,Gas,Sale,-40.98,,debit,Transportation,Gas
02/28/2025,02/28/2025,MED*THE CHILDRENS HOSPITA,Health & Wellness,Sale,-89.0,,debit,Family,Medical
02/25/2025,02/26/2025,CVS/PHARMACY #05462,Health & Wellness,Sale,-9.29,,debit,Family,Medical
02/24/2025,02/25/2025,CONICELLI TOYOTA,Automotive,Sale,-70.53,,debit,Transportation,Maintenance
02/23/2025,02/24/2025,BJS WHOLESALE #0092,Shopping,Sale,-272.14,,debit,Family,Shopping
02/22/2025,02/23/2025,AMAZON PRIME*SB8KB3SM3,Shopping,Sale,-3.17,,debit,Family,Shopping
02/21/2025,02/23/2025,SANJHA BAZAAR,Groceries,Sale,-84.66,,debit,Food,Groceries
02/21/2025,02/23/2025,PRODUCE JUNCTION BROOMALL,Groceries,Sale,-38.0,,debit,Food,Groceries
02/20/2025,02/21/2025,BRUNO'S SINCLAIR,Gas,Sale,-20.23,,debit,Transportation,Gas
02/20/2025,02/21/2025,SUNOCO 8000020602,Gas,Sale,-28.89,,debit,Transportation,Gas
02/14/2025,02/16/2025,TMOBILE*AUTO PAY,Bills & Utilities,Sale,-236.12,,debit,House,Utilities
02/15/2025,02/16/2025,DUNKIN #302336 Q35,Food & Drink,Sale,-3.29,,debit,Food,Dine Out
02/14/2025,02/16/2025,GIANT 6442,Groceries,Sale,-139.36,,debit,Food,Groceries
02/15/2025,02/16/2025,GAS N GO,Gas,Sale,-29.05,,debit,Transportation,Gas
02/12/2025,02/13/2025,ASTOUND POWERED BY RCN,Bills & Utilities,Sale,-36.92,,debit,House,Utilities
02/11/2025,02/12/2025,PRODUCE JUNCTION BROOMALL,Groceries,Sale,-33.0,,debit,Food,Groceries
02/10/2025,02/11/2025,DOLLAR OR TWO,Groceries,Sale,-7.16,,debit,Food,Groceries
02/10/2025,02/11/2025,GIANT 6442,Groceries,Sale,-28.19,,debit,Food,Groceries
02/09/2025,02/11/2025,ADVOCARE LLC,Health & Wellness,Sale,-39.38,,debit,Family,Medical
02/10/2025,02/10/2025,AUTOMATIC PAYMENT - THANK,,Payment,3089.46,,credit,Uncategorized,
02/10/2025,02/10/2025,AMAZON MKTPL*6S2US6583,Shopping,Sale,-17.8,,debit,Family,Shopping
02/10/2025,02/10/2025,PAYPAL *QUESTDIAGNO,Health & Wellness,Sale,-6.19,,debit,Family,Shopping
02/09/2025,02/10/2025,AMAZON MKTPL*T30WB2M83,Shopping,Sale,-7.41,,debit,Family,Shopping
02/08/2025,02/09/2025,AMAZON MKTPL*XM6H38MP3,Shopping,Sale,-30.51,,debit,Family,Shopping
02/07/2025,02/09/2025,DOLLAR TREE,Shopping,Sale,-11.93,,debit,Family,Shopping
02/07/2025,02/09/2025,WAL-MART #5881,Groceries,Sale,-156.15,,debit,Family,Shopping
02/05/2025,02/06/2025,GREATER PHILADELPHIA YMCA,Personal,Sale,-131.0,,debit,Family,Subscription
02/05/2025,02/06/2025,WAWA 205,Gas,Sale,-1.06,,debit,Transportation,Gas
02/04/2025,02/05/2025,TARGET        00023127,Shopping,Sale,-120.8,,debit,Family,Shopping
02/04/2025,02/05/2025,PHSC BILLING OFFICE,Health & Wellness,Sale,-121.44,,debit,Family,Medical
02/04/2025,02/05/2025,MARTINDALE'S NATURAL MAR,Groceries,Sale,-40.44,,debit,Food,Groceries
02/04/2025,02/05/2025,PRODUCE JUNCTION BROOMALL,Groceries,Sale,-50.25,,debit,Food,Groceries
02/03/2025,02/04/2025,SHOPRITE DREXELINE S1,Groceries,Sale,-10.99,,debit,Food,Groceries
02/02/2025,02/04/2025,DELAWARE HBCS,Health & Wellness,Sale,-100.0,,debit,Family,Medical
02/02/2025,02/03/2025,Amazon web services,Personal,Sale,-5.0,,debit,Family,Shopping
02/01/2025,02/02/2025,NETFLIX.COM,Bills & Utilities,Sale,-16.42,,debit,Family,Subscription
01/27/2025,01/29/2025,CHOP HOSPITAL ONLINE,Health & Wellness,Sale,-100.0,,debit,Family,Medical
01/27/2025,01/29/2025,LOWES #03169*,Home,Sale,-41.3,,debit,House,Miscellaneous
01/26/2025,01/29/2025,BJS WHOLESALE #0092,Shopping,Return,29.99,,credit,Family,Shopping
01/26/2025,01/28/2025,BJS WHOLESALE #0092,Shopping,Sale,-251.95,,debit,Family,Shopping
01/26/2025,01/28/2025,BRUNO'S SINCLAIR,Gas,Sale,-52.17,,debit,Transportation,Gas
01/25/2025,01/28/2025,PA BCCO CORP FEE-DOS,Bills & Utilities,Sale,-70.0,,debit,House,Utilities
01/25/2025,01/28/2025,PA BCCO CORP FEE-DOS,Bills & Utilities,Sale,-125.0,,debit,House,Utilities
01/24/2025,01/26/2025,PRODUCE JUNCTION BROOMALL,Groceries,Sale,-53.25,,debit,Food,Groceries
01/23/2025,01/24/2025,BRUNO'S SINCLAIR,Gas,Sale,-38.09,,debit,Transportation,Gas
01/22/2025,01/23/2025,AMAZON PRIME*ZC1GD3XL2,Shopping,Sale,-3.17,,debit,Family,Shopping
01/20/2025,01/21/2025,9358 GREAT CLIPS OF PILGR,Personal,Sale,-25.0,,debit,Family,Miscellaneous
01/18/2025,01/20/2025,QUICK CKEK FOOD STORES,Gas,Sale,-5.0,,debit,Transportation,Gas
01/19/2025,01/20/2025,WAWA 991,Gas,Sale,-5.1,,debit,Transportation,Gas
01/18/2025,01/19/2025,GAS N GO,Gas,Sale,-15.0,,debit,Transportation,Gas
01/15/2025,01/16/2025,PRODUCE JUNCTION BROOMALL,Groceries,Sale,-18.0,,debit,Food,Groceries
01/15/2025,01/16/2025,GIANT 6442,Groceries,Sale,-41.06,,debit,Food,Groceries
01/14/2025,01/15/2025,TMOBILE*AUTO PAY,Bills & Utilities,Sale,-248.4,,debit,House,Utilities
01/13/2025,01/14/2025,GENTILE'S FARM MARK,Groceries,Sale,-44.99,,debit,Food,Groceries
01/13/2025,01/14/2025,ASTOUND POWERED BY RCN,Bills & Utilities,Sale,-36.92,,debit,House,Utilities
01/10/2025,01/10/2025,AUTOMATIC PAYMENT - THANK,,Payment,1556.81,,credit,Uncategorized,
01/08/2025,01/09/2025,SUNOCO 0363102504,Gas,Sale,-40.45,,debit,Transportation,Gas
01/05/2025,01/06/2025,BJS WHOLESALE #0092,Shopping,Sale,-87.45,,debit,Family,Shopping
01/05/2025,01/06/2025,MUSIC &amp; ARTS 72,Shopping,Sale,-5.3,,debit,Family,Shopping
01/05/2025,01/06/2025,CVS/PHARMACY #05462,Health & Wellness,Sale,-23.29,,debit,Family,Medical
01/05/2025,01/06/2025,LOWES #00757*,Home,Sale,-42.34,,debit,House,Miscellaneous
01/04/2025,01/05/2025,PHSC BILLING OFFICE,Health & Wellness,Sale,-121.44,,debit,Family,Medical
01/02/2025,01/05/2025,DELAWARE HBCS,Health & Wellness,Sale,-100.0,,debit,Family,Medical
01/03/2025,01/05/2025,GREATER PHILADELPHIA YMCA,Personal,Sale,-131.0,,debit,Family,Subscription
01/02/2025,01/03/2025,Amazon web services,Personal,Sale,-5.0,,debit,Family,Shopping
01/01/2025,01/02/2025,NETFLIX.COM,Bills & Utilities,Sale,-16.42,,debit,Family,Subscription
12/31/2024,01/01/2025,PA DRIVER &amp; VEHICLE SERV,Bills & Utilities,Sale,-100.0,,debit,House,Utilities
12/31/2024,01/01/2025,COMM OF PA OB/OCO P,Bills & Utilities,Sale,-97.0,,debit,House,Utilities
01/01/2025,01/01/2025,Google VOICE,Entertainment,Sale,-10.0,,debit,Family,Miscellaneous
